区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,金世纪嘉园 ,1室1厅,75.74,720,95063,房本满五年,东南,精装,无,高楼层(共21层)2005年建塔楼,,-
东城,甘水桥 ,3室1厅,56.59,622,109914,房本满五年,南北,简装,无电梯,中楼层(共5层)1986年建板楼,,-
东城,前门东大街 ,2室1厅,60.08,680,113183,房本满五年,南北,其他,有电梯,中楼层(共12层)1979年建板塔结合,,-
东城,青年湖南街 ,3室1厅,78.97,990,125365,房本满五年,南西北,毛坯,有电梯,低楼层(共14层)1996年建板塔结合,,-
东城,东花市北里西区 ,2室1厅,65.73,690,104975,房本满五年,西,其他,无电梯,中楼层(共6层)1995年建塔楼,,-
东城,广渠家园 ,1室1厅,51.35,535,104187,房本满五年,西,精装,有电梯,高楼层(共29层)2009年建板塔结合,,-
东城,北京上舍 ,3室2厅,133.06,1410,105968,房本满五年,西南,精装,有电梯,高楼层(共15层)2008年建塔楼,,-
东城,新奥洋房 ,2室1厅,98,790,80613,房本满五年,东西,简装,有电梯,低楼层(共9层)2005年建板塔结合,,-
东城,万国城MOMA ,2室1厅,127.31,1530,120180,房本满五年,西北,精装,有电梯,低楼层(共25层)2002年建塔楼,,-
东城,中景濠庭 ,3室2厅,161.57,1580,97791,房本满五年,南北,精装,无,中楼层(共22层)2002年建塔楼,,-
东城,左安漪园 ,4室2厅,226.27,2260,99881,房本满五年,东南北,精装,有电梯,低楼层(共14层)2004年建板楼,,-
东城,幸福家园一期 ,3室2厅,139.69,1816,130003,房本满五年,南北,精装,无,低楼层(共12层)2002年建板塔结合,,-
东城,中景濠庭 ,1室1厅,74.21,690,92980,房本满五年,北,精装,有电梯,低楼层(共22层)2001年建板塔结合,,-
东城,胡家园小区 ,3室1厅,74.18,800,107846,房本满五年,南北,其他,有电梯,高楼层(共20层)1992年建塔楼,,-
东城,太华公寓 ,1室1厅,102.37,800,78148,房本满五年,东,精装,有电梯,高楼层(共18层)2000年建塔楼,,-
东城,左安漪园 ,3室1厅,113.27,1130,99762,,东北,简装,有电梯,高楼层(共15层)2004年建板塔结合,,-
东城,海晟名苑 ,3室3厅,295.56,3800,128570,,南,简装,有电梯,高楼层(共18层)2003年建板塔结合,,-
东城,本家润园三期 ,2室1厅,69.74,732,104962,,东,简装,有电梯,高楼层(共18层)2005年建板塔结合,,-
东城,华府景园 ,4室2厅,216.54,2800,129307,,东南西,精装,有电梯,顶层(共12层)2001年建板塔结合,,-
东城,朝阳门南小街 ,3室1厅,84.7,1150,135774,,东西,精装,有电梯,低楼层(共16层)2004年建板塔结合,,-
东城,北河沿大街 ,3室0厅,74.79,1005,134377,,东南西,其他,无电梯,中楼层(共6层)1989年建板楼,,-
东城,工体3号 ,1室1厅,104.99,780,74293,,东,精装,无,中楼层(共17层)2013年建板塔结合,,-
东城,东皇城根南街86号院 ,3室1厅,67.93,886,130429,,南北,简装,无电梯,高楼层(共6层)1988年建板楼,,-
东城,和平里七区 ,3室1厅,72.35,830,114721,房本满五年,南北,简装,无电梯,顶层(共5层)1986年建板楼,,-
东城,凯景铭座 ,3室2厅,178.91,1600,89431,房本满五年,东北,精装,无,顶层(共19层)2001年建塔楼,,-
东城,富贵园一区 ,3室2厅,161.16,1900,117896,房本满五年,东南北,简装,有电梯,中楼层(共9层)2003年建板楼,,-
